vehicle_type,vehicle_make,vehicle_model,vehicle_year,vehicle_age,vehicle_condition,vehicle_price,engine_type,age,gender,occupation,region,driving_experience,claims_history,policy_tenure,policy_type,claim_id,claim_date,claim_amount,claim_reason,damage_type,reported_delay,police_report,repair_estimate,actual_repair_cost,submission_channel,payment_channel,customer_contacted,agent_id,agent_city,fraud_reported,net_premium
SUV,Honda,Accord,2008,17,Used,22511.65,Electric,44,Male,Teacher,Central,14,4,11,Third-party,C100000,2019-12-14 11:07:52,6456.19,Vandalism,Minor,3,1,5870.9,4760.98,In-Person,Check,1,A754,South,0,2084.19
Sedan,Mercedes,GLA,2001,24,Damaged,14595.27,Petrol,30,Female,Unemployed,North,23,1,19,Comprehensive,C100001,2023-05-28 12:15:13,7484.2,Accident,Minor,4,1,2969.04,5162.09,Online,Cash,1,A214,East,0,1450.88
Sedan,BMW,3 Series,2007,18,New,6948.39,Petrol,53,Female,Lawyer,West,4,1,2,Collision,C100002,2021-07-20 19:17:59,2382.7,Theft,Minor,7,0,6539.25,2059.1,Phone,Bank Transfer,1,A125,North,0,779.61
Convertible,Mercedes,GLA,2019,6,Used,29836.16,Electric,30,Female,Doctor,North,50,1,46,Comprehensive,C100003,2022-01-14 17:06:15,6466.65,Accident,Major,6,0,2991.44,4163.21,Online,Check,0,A859,Central,0,1262.49
Sedan,Mercedes,C-Class,2001,24,Used,21314.5,Hybrid,58,Female,Doctor,North,37,2,37,Collision,C100004,2021-04-04 03:49:36,2783.36,Vandalism,Total Loss,1,1,5781.6,3822.91,In-Person,Bank Transfer,1,A381,South,0,1846.45
Van,Ford,F-150,2010,15,New,15834.46,Petrol,39,Male,Driver,North,54,1,53,Third-party,C100005,2023-04-01 23:55:34,6220.48,Fire,Minor,3,1,3402.15,1627.12,In-Person,Bank Transfer,1,A350,Central,0,1414.08
Coupe,BMW,3 Series,2006,19,Used,12290.53,Hybrid,63,Female,Teacher,Central,28,1,26,Comprehensive,C100006,2022-11-10 22:54:16,2880.16,Vandalism,Major,0,1,5553.38,734.67,Phone,Bank Transfer,1,A328,West,0,1047.91
Coupe,BMW,X3,2005,20,Used,21396.53,Electric,61,Female,Engineer,South,45,2,43,Collision,C100007,2021-03-05 18:16:40,6174.2,Theft,Major,4,1,2477.8,3938.9,Phone,Check,1,A242,South,0,1456.91
Coupe,BMW,3 Series,2009,16,Used,24123.34,Petrol,41,Female,Lawyer,North,51,3,51,Third-party,C100008,2023-03-14 17:47:52,2044.3,Vandalism,Major,5,1,4016.26,5130.53,Online,Cash,0,A854,East,0,1161.34
SUV,Mercedes,GLA,2004,21,Damaged,22607.46,Electric,47,Male,Lawyer,East,56,3,53,Collision,C100009,2022-09-22 19:51:31,4584.38,Accident,Minor,1,0,2302.07,3673.72,In-Person,Check,1,A204,South,0,2070.52
